Agent-1 Wins,Agent-1 Loses,Agent-1 Draws,Agent-2 Wins,Agent-2 Loses,Agent-2 Draws
Wins(Non Greedy Play),Loses(Non Greedy Play),Draws(Non Greedy Play)
0.8710000000000007,0.11000000000000008,0.01900000000000001
0.8980000000000007,0.07900000000000006,0.023000000000000013
0.8820000000000007,0.08600000000000006,0.03200000000000002
0.8980000000000007,0.06200000000000005,0.04000000000000003
0.9090000000000007,0.05300000000000004,0.03800000000000003
0.9190000000000007,0.047000000000000035,0.03400000000000002
0.9270000000000007,0.059000000000000045,0.014000000000000005
0.9430000000000007,0.048000000000000036,0.009000000000000001
0.9530000000000007,0.04000000000000003,0.007
0.9550000000000007,0.03100000000000002,0.014000000000000005
0.9430000000000007,0.04400000000000003,0.013000000000000005
0.9620000000000007,0.03400000000000002,0.004
0.9340000000000007,0.05600000000000004,0.010000000000000002
0.9780000000000008,0.012000000000000004,0.010000000000000002
0.9760000000000008,0.010000000000000002,0.014000000000000005
0.9810000000000008,0.006,0.013000000000000005
0.9700000000000008,0.013000000000000005,0.017000000000000008
0.9740000000000008,0.010000000000000002,0.016000000000000007
0.9790000000000008,0.009000000000000001,0.012000000000000004
0.9830000000000008,0.008,0.009000000000000001
0.9640000000000007,0.013000000000000005,0.023000000000000013
0.9710000000000008,0.008,0.02100000000000001
0.9810000000000008,0.010000000000000002,0.009000000000000001
0.9770000000000008,0.011000000000000003,0.012000000000000004
0.9820000000000008,0.007,0.011000000000000003
0.9790000000000008,0.009000000000000001,0.012000000000000004
0.9650000000000007,0.017000000000000008,0.01800000000000001
0.9660000000000007,0.02100000000000001,0.013000000000000005
0.9670000000000007,0.013000000000000005,0.02000000000000001
0.9770000000000008,0.005,0.01800000000000001
0.9790000000000008,0.005,0.016000000000000007
0.9760000000000008,0.007,0.017000000000000008
0.9740000000000008,0.008,0.01800000000000001
0.9850000000000008,0.002,0.013000000000000005
0.9830000000000008,0,0.017000000000000008
0.9900000000000008,0.001,0.009000000000000001
0.9850000000000008,0.007,0.008
0.9850000000000008,0,0.015000000000000006
0.9860000000000008,0.001,0.013000000000000005
0.9890000000000008,0.001,0.010000000000000002
0.9860000000000008,0.004,0.010000000000000002
0.9820000000000008,0,0.01800000000000001
0.9880000000000008,0,0.012000000000000004
0.9840000000000008,0,0.016000000000000007
0.9880000000000008,0,0.012000000000000004
0.9860000000000008,0,0.014000000000000005
0.9880000000000008,0,0.012000000000000004
0.9840000000000008,0,0.016000000000000007
0.9810000000000008,0,0.01900000000000001
0.9870000000000008,0,0.013000000000000005
0.9850000000000008,0,0.015000000000000006
0.9870000000000008,0,0.013000000000000005
0.9800000000000008,0,0.02000000000000001
0.9890000000000008,0,0.011000000000000003
0.9860000000000008,0,0.014000000000000005
0.9850000000000008,0,0.015000000000000006
0.9870000000000008,0.001,0.012000000000000004
0.9870000000000008,0,0.013000000000000005
0.9410000000000007,0.047000000000000035,0.012000000000000004
0.9310000000000007,0.059000000000000045,0.010000000000000002
0.9300000000000007,0.057000000000000044,0.013000000000000005
0.9350000000000007,0.046000000000000034,0.01900000000000001
0.9300000000000007,0.05300000000000004,0.017000000000000008
0.9230000000000007,0.05100000000000004,0.026000000000000016
0.9450000000000007,0.04000000000000003,0.015000000000000006
0.9380000000000007,0.03000000000000002,0.03200000000000002
0.9600000000000007,0.02100000000000001,0.01900000000000001
0.9380000000000007,0.03900000000000003,0.023000000000000013
0.9270000000000007,0.04400000000000003,0.02900000000000002
0.9400000000000007,0.03300000000000002,0.027000000000000017
0.9530000000000007,0.025000000000000015,0.022000000000000013
0.9540000000000007,0.023000000000000013,0.023000000000000013
0.9340000000000007,0.005,0.06100000000000005
0.9440000000000007,0.002,0.05400000000000004
0.9400000000000007,0.007,0.05300000000000004
0.9160000000000007,0,0.08400000000000006
0.9320000000000007,0,0.06800000000000005
0.9390000000000007,0,0.06100000000000005
0.9350000000000007,0,0.06500000000000004
0.9390000000000007,0,0.06100000000000005
0.9440000000000007,0.007,0.04900000000000004
0.9410000000000007,0,0.059000000000000045
0.9360000000000007,0.009000000000000001,0.05500000000000004
0.9260000000000007,0.007,0.06700000000000005
0.9560000000000007,0.023000000000000013,0.02100000000000001
0.9580000000000007,0.02000000000000001,0.022000000000000013
0.9690000000000007,0.012000000000000004,0.01900000000000001
0.9530000000000007,0.01800000000000001,0.02900000000000002
0.9430000000000007,0.012000000000000004,0.04500000000000003
0.9590000000000007,0.001,0.04000000000000003
0.9660000000000007,0.007,0.027000000000000017
0.9810000000000008,0,0.01900000000000001
0.9810000000000008,0,0.01900000000000001
0.9730000000000008,0,0.027000000000000017
0.9740000000000008,0,0.026000000000000016
0.9770000000000008,0,0.023000000000000013
0.9870000000000008,0,0.013000000000000005
0.9710000000000008,0,0.02900000000000002
0.9790000000000008,0,0.02100000000000001
0.9800000000000008,0,0.02000000000000001
0.9850000000000008,0,0.015000000000000006
0.9860000000000008,0,0.014000000000000005
0.9800000000000008,0,0.02000000000000001
0.9840000000000008,0,0.016000000000000007
0.9890000000000008,0,0.011000000000000003
0.9840000000000008,0,0.016000000000000007
0.9810000000000008,0,0.01900000000000001
0.9830000000000008,0,0.017000000000000008
0.9870000000000008,0,0.013000000000000005
0.9880000000000008,0,0.012000000000000004
0.9840000000000008,0,0.016000000000000007
0.9830000000000008,0,0.017000000000000008
0.9760000000000008,0,0.024000000000000014
0.9840000000000008,0,0.016000000000000007
0.9870000000000008,0,0.013000000000000005
0.9880000000000008,0,0.012000000000000004
0.9810000000000008,0,0.01900000000000001
0.9830000000000008,0,0.017000000000000008
0.9840000000000008,0,0.016000000000000007
0.9850000000000008,0,0.015000000000000006
0.9880000000000008,0,0.012000000000000004
0.9850000000000008,0,0.015000000000000006
0.9840000000000008,0,0.016000000000000007
0.9870000000000008,0,0.013000000000000005
0.9850000000000008,0,0.015000000000000006
0.9780000000000008,0.003,0.01900000000000001
0.9920000000000008,0.002,0.006
0.9860000000000008,0.002,0.012000000000000004
0.8850000000000007,0.06700000000000005,0.048000000000000036
0.9100000000000007,0.05600000000000004,0.03400000000000002
0.9590000000000007,0.03100000000000002,0.010000000000000002
0.9620000000000007,0.02900000000000002,0.009000000000000001
0.9770000000000008,0.012000000000000004,0.011000000000000003
0.9710000000000008,0.017000000000000008,0.012000000000000004
0.9690000000000007,0.025000000000000015,0.006
0.9740000000000008,0.015000000000000006,0.011000000000000003
0.9810000000000008,0.010000000000000002,0.009000000000000001
0.9810000000000008,0.011000000000000003,0.008
0.9660000000000007,0.014000000000000005,0.02000000000000001
0.9710000000000008,0.015000000000000006,0.014000000000000005
0.9810000000000008,0.011000000000000003,0.008
0.9780000000000008,0.009000000000000001,0.013000000000000005
0.9800000000000008,0.004,0.016000000000000007
0.9680000000000007,0.009000000000000001,0.023000000000000013
0.9790000000000008,0.010000000000000002,0.011000000000000003
0.9740000000000008,0.011000000000000003,0.015000000000000006
0.9760000000000008,0.005,0.01900000000000001
0.9820000000000008,0.003,0.015000000000000006
0.9770000000000008,0.008,0.015000000000000006
0.9890000000000008,0.005,0.006
0.9230000000000007,0.04500000000000003,0.03200000000000002
0.9430000000000007,0.026000000000000016,0.03100000000000002
0.9430000000000007,0.03400000000000002,0.023000000000000013
0.9370000000000007,0.03800000000000003,0.025000000000000015
0.9360000000000007,0.036000000000000025,0.028000000000000018
0.9360000000000007,0.037000000000000026,0.027000000000000017
0.9500000000000007,0.026000000000000016,0.024000000000000014
0.9240000000000007,0.03100000000000002,0.04500000000000003
0.9830000000000008,0.006,0.011000000000000003
0.9760000000000008,0.010000000000000002,0.014000000000000005
0.9840000000000008,0.002,0.014000000000000005
0.9850000000000008,0,0.015000000000000006
0.9890000000000008,0,0.011000000000000003
0.9840000000000008,0,0.016000000000000007
0.9870000000000008,0,0.013000000000000005
0.9830000000000008,0,0.017000000000000008
0.9890000000000008,0,0.011000000000000003
0.9850000000000008,0,0.015000000000000006
0.9840000000000008,0,0.016000000000000007
0.9910000000000008,0,0.009000000000000001
0.9840000000000008,0,0.016000000000000007
0.9790000000000008,0,0.02100000000000001
0.9830000000000008,0,0.017000000000000008
0.9890000000000008,0,0.011000000000000003
0.9890000000000008,0,0.011000000000000003
0.9870000000000008,0,0.013000000000000005
0.9900000000000008,0,0.010000000000000002
0.9860000000000008,0,0.014000000000000005
0.9840000000000008,0,0.016000000000000007
0.9820000000000008,0,0.01800000000000001
0.9910000000000008,0,0.009000000000000001
0.9920000000000008,0,0.008
0.9880000000000008,0,0.012000000000000004
0.9950000000000008,0,0.005
0.9860000000000008,0,0.014000000000000005
0.9860000000000008,0,0.014000000000000005
0.9910000000000008,0,0.009000000000000001
0.9870000000000008,0,0.013000000000000005
0.9870000000000008,0,0.013000000000000005
0.9890000000000008,0,0.011000000000000003
0.9870000000000008,0,0.013000000000000005
0.9880000000000008,0.003,0.009000000000000001
0.9770000000000008,0.005,0.01800000000000001
0.9870000000000008,0,0.013000000000000005
0.9830000000000008,0,0.017000000000000008
0.9890000000000008,0,0.011000000000000003
0.9830000000000008,0,0.017000000000000008
0.9790000000000008,0,0.02100000000000001
0.9850000000000008,0,0.015000000000000006
0.9870000000000008,0,0.013000000000000005
0.9890000000000008,0,0.011000000000000003
0.9880000000000008,0,0.012000000000000004
0.9870000000000008,0,0.013000000000000005
0.9890000000000008,0,0.011000000000000003
0.9870000000000008,0,0.013000000000000005
0.9840000000000008,0,0.016000000000000007
0.9880000000000008,0,0.012000000000000004
0.9870000000000008,0,0.013000000000000005
0.9890000000000008,0,0.011000000000000003
0.9890000000000008,0,0.011000000000000003
0.9910000000000008,0,0.009000000000000001
0.9920000000000008,0,0.008
0.9820000000000008,0,0.01800000000000001
0.9910000000000008,0,0.009000000000000001
0.9830000000000008,0,0.017000000000000008
0.9860000000000008,0,0.014000000000000005
0.9900000000000008,0,0.010000000000000002
0.9890000000000008,0,0.011000000000000003
0.9870000000000008,0,0.013000000000000005
0.9890000000000008,0,0.011000000000000003
0.9930000000000008,0,0.007
0.9850000000000008,0,0.015000000000000006
0.9830000000000008,0,0.017000000000000008
0.9890000000000008,0,0.011000000000000003
0.9910000000000008,0,0.009000000000000001
0.9850000000000008,0,0.015000000000000006
0.9900000000000008,0,0.010000000000000002
0.9900000000000008,0,0.010000000000000002
0.9880000000000008,0,0.012000000000000004
0.9820000000000008,0,0.01800000000000001
0.9860000000000008,0,0.014000000000000005
0.9890000000000008,0,0.011000000000000003
0.9810000000000008,0,0.01900000000000001
0.9870000000000008,0,0.013000000000000005
0.9920000000000008,0,0.008
0.9870000000000008,0,0.013000000000000005
0.9880000000000008,0,0.012000000000000004
0.9840000000000008,0,0.016000000000000007
0.9800000000000008,0,0.02000000000000001
0.9910000000000008,0,0.009000000000000001
0.9860000000000008,0,0.014000000000000005
0.9910000000000008,0,0.009000000000000001
0.9840000000000008,0,0.016000000000000007
0.9900000000000008,0,0.010000000000000002
0.9900000000000008,0,0.010000000000000002
0.9850000000000008,0,0.015000000000000006
0.9910000000000008,0,0.009000000000000001
0.9840000000000008,0,0.016000000000000007
0.9890000000000008,0,0.011000000000000003
0.9830000000000008,0,0.017000000000000008
0.9850000000000008,0,0.015000000000000006
0.9870000000000008,0,0.013000000000000005
0.9830000000000008,0,0.017000000000000008
0.9820000000000008,0,0.01800000000000001
0.9940000000000008,0,0.006
0.9870000000000008,0,0.013000000000000005
0.9930000000000008,0,0.007
0.9920000000000008,0,0.008
0.9910000000000008,0,0.009000000000000001
0.9850000000000008,0,0.015000000000000006
0.9920000000000008,0,0.008
0.9860000000000008,0,0.014000000000000005
0.9950000000000008,0,0.005
0.9820000000000008,0,0.01800000000000001
0.9840000000000008,0,0.016000000000000007
0.9850000000000008,0,0.015000000000000006
0.9870000000000008,0,0.013000000000000005
0.9910000000000008,0,0.009000000000000001
0.9850000000000008,0,0.015000000000000006
0.9820000000000008,0,0.01800000000000001
0.9880000000000008,0,0.012000000000000004
0.9880000000000008,0,0.012000000000000004
0.9890000000000008,0,0.011000000000000003
0.9860000000000008,0,0.014000000000000005
0.9870000000000008,0,0.013000000000000005
0.9840000000000008,0,0.016000000000000007
0.9800000000000008,0,0.02000000000000001
0.9920000000000008,0,0.008
0.9830000000000008,0,0.017000000000000008
0.9790000000000008,0,0.02100000000000001
0.9880000000000008,0,0.012000000000000004
0.9880000000000008,0,0.012000000000000004
0.9900000000000008,0,0.010000000000000002
0.9880000000000008,0,0.012000000000000004
0.9860000000000008,0,0.014000000000000005
0.9870000000000008,0,0.013000000000000005
0.9890000000000008,0,0.011000000000000003
0.9870000000000008,0,0.013000000000000005
0.9840000000000008,0,0.016000000000000007
0.9910000000000008,0,0.009000000000000001
0.9890000000000008,0,0.011000000000000003
0.9840000000000008,0,0.016000000000000007
0.9900000000000008,0,0.010000000000000002
0.9920000000000008,0,0.008
0.9890000000000008,0,0.011000000000000003
0.9930000000000008,0,0.007
0.9870000000000008,0,0.013000000000000005
0.9890000000000008,0,0.011000000000000003
0.9860000000000008,0,0.014000000000000005
0.9920000000000008,0,0.008
0.9840000000000008,0,0.016000000000000007
0.9920000000000008,0,0.008
0.9870000000000008,0,0.013000000000000005
0.9850000000000008,0,0.015000000000000006
0.9850000000000008,0,0.015000000000000006
0.9920000000000008,0,0.008
0.9920000000000008,0,0.008
0.9730000000000008,0,0.027000000000000017
0.9870000000000008,0,0.013000000000000005
0.9750000000000008,0,0.025000000000000015
0.9890000000000008,0,0.011000000000000003
0.9890000000000008,0,0.011000000000000003
0.9900000000000008,0,0.010000000000000002
0.9900000000000008,0,0.010000000000000002
0.9930000000000008,0,0.007
0.9870000000000008,0,0.013000000000000005
0.9880000000000008,0,0.012000000000000004
0.9780000000000008,0,0.022000000000000013
0.9850000000000008,0,0.015000000000000006
0.9860000000000008,0,0.014000000000000005
0.9850000000000008,0,0.015000000000000006
0.9830000000000008,0,0.017000000000000008
0.9870000000000008,0,0.013000000000000005
0.9860000000000008,0,0.014000000000000005
0.9900000000000008,0,0.010000000000000002
0.9840000000000008,0,0.016000000000000007
0.9850000000000008,0,0.015000000000000006
0.9900000000000008,0,0.010000000000000002
0.9930000000000008,0,0.007
0.9870000000000008,0,0.013000000000000005
0.9900000000000008,0,0.010000000000000002
0.9850000000000008,0,0.015000000000000006
0.9920000000000008,0,0.008
0.9830000000000008,0,0.017000000000000008
0.9860000000000008,0,0.014000000000000005
0.9860000000000008,0,0.014000000000000005
0.9870000000000008,0,0.013000000000000005
0.9840000000000008,0,0.016000000000000007
0.9840000000000008,0,0.016000000000000007
0.9820000000000008,0,0.01800000000000001
0.9870000000000008,0,0.013000000000000005
0.9920000000000008,0,0.008
0.9820000000000008,0,0.01800000000000001
0.9920000000000008,0,0.008
0.9850000000000008,0,0.015000000000000006
0.9890000000000008,0,0.011000000000000003
0.9920000000000008,0,0.008
0.9910000000000008,0,0.009000000000000001
0.9940000000000008,0,0.006
0.9870000000000008,0,0.013000000000000005
0.9840000000000008,0,0.016000000000000007
0.9910000000000008,0,0.009000000000000001
0.9830000000000008,0,0.017000000000000008
0.9840000000000008,0,0.016000000000000007
0.9790000000000008,0,0.02100000000000001
0.9850000000000008,0,0.015000000000000006
0.9860000000000008,0,0.014000000000000005
0.9860000000000008,0,0.014000000000000005
0.9930000000000008,0,0.007
0.9860000000000008,0,0.014000000000000005
0.9840000000000008,0,0.016000000000000007
0.9850000000000008,0,0.015000000000000006
0.9860000000000008,0,0.014000000000000005
0.9890000000000008,0,0.011000000000000003
0.9830000000000008,0,0.017000000000000008
0.9860000000000008,0,0.014000000000000005
0.9860000000000008,0,0.014000000000000005
0.9860000000000008,0,0.014000000000000005
0.9900000000000008,0,0.010000000000000002
0.9870000000000008,0,0.013000000000000005
0.9920000000000008,0,0.008
0.9850000000000008,0,0.015000000000000006
0.9830000000000008,0,0.017000000000000008
0.9820000000000008,0,0.01800000000000001
0.9870000000000008,0,0.013000000000000005
0.9870000000000008,0,0.013000000000000005
0.9900000000000008,0,0.010000000000000002
0.9920000000000008,0,0.008
0.9860000000000008,0,0.014000000000000005
0.9870000000000008,0,0.013000000000000005
0.9860000000000008,0,0.014000000000000005
0.9900000000000008,0,0.010000000000000002
0.9880000000000008,0,0.012000000000000004
0.9850000000000008,0,0.015000000000000006
0.9850000000000008,0,0.015000000000000006
0.9880000000000008,0,0.012000000000000004
0.9890000000000008,0,0.011000000000000003
0.9910000000000008,0,0.009000000000000001
0.9770000000000008,0,0.023000000000000013
0.9920000000000008,0,0.008
0.9920000000000008,0,0.008
0.9880000000000008,0,0.012000000000000004
0.9860000000000008,0,0.014000000000000005
0.9910000000000008,0,0.009000000000000001
0.9900000000000008,0,0.010000000000000002
0.9910000000000008,0,0.009000000000000001
0.9820000000000008,0,0.01800000000000001
0.9890000000000008,0,0.011000000000000003
0.9950000000000008,0,0.005
0.9850000000000008,0,0.015000000000000006
0.9940000000000008,0,0.006
0.9890000000000008,0,0.011000000000000003
0.9890000000000008,0,0.011000000000000003
0.9920000000000008,0,0.008
0.9920000000000008,0,0.008
0.9850000000000008,0,0.015000000000000006
0.9860000000000008,0,0.014000000000000005
0.9860000000000008,0,0.014000000000000005
0.9900000000000008,0,0.010000000000000002
0.9950000000000008,0,0.005
0.9880000000000008,0,0.012000000000000004
0.9900000000000008,0,0.010000000000000002
0.9920000000000008,0,0.008
0.9890000000000008,0,0.011000000000000003
0.9870000000000008,0,0.013000000000000005
0.9920000000000008,0,0.008
0.9860000000000008,0,0.014000000000000005
0.9880000000000008,0,0.012000000000000004
0.9900000000000008,0,0.010000000000000002
0.9950000000000008,0,0.005
0.9930000000000008,0,0.007
0.9920000000000008,0,0.008
0.9890000000000008,0,0.011000000000000003
0.9900000000000008,0,0.010000000000000002
0.9890000000000008,0,0.011000000000000003
0.9900000000000008,0,0.010000000000000002
0.9860000000000008,0,0.014000000000000005
0.9900000000000008,0,0.010000000000000002
0.9900000000000008,0,0.010000000000000002
0.9920000000000008,0,0.008
0.9850000000000008,0,0.015000000000000006
0.9970000000000008,0,0.003
0.9960000000000008,0,0.004
0.9850000000000008,0,0.015000000000000006
0.9910000000000008,0,0.009000000000000001
0.9950000000000008,0,0.005
0.9860000000000008,0,0.014000000000000005
0.9940000000000008,0,0.006
0.9910000000000008,0,0.009000000000000001
0.9930000000000008,0,0.007
0.9880000000000008,0,0.012000000000000004
0.9880000000000008,0,0.012000000000000004
0.9910000000000008,0,0.009000000000000001
0.9870000000000008,0,0.013000000000000005
0.9880000000000008,0,0.012000000000000004
0.9870000000000008,0,0.013000000000000005
0.9830000000000008,0,0.017000000000000008
0.9910000000000008,0,0.009000000000000001
0.9910000000000008,0,0.009000000000000001
0.9880000000000008,0,0.012000000000000004
0.9900000000000008,0,0.010000000000000002
0.9930000000000008,0,0.007
0.9940000000000008,0,0.006
0.9910000000000008,0,0.009000000000000001
0.9920000000000008,0,0.008
0.9920000000000008,0,0.008
0.9870000000000008,0,0.013000000000000005
0.9910000000000008,0,0.009000000000000001
0.9860000000000008,0,0.014000000000000005
0.9830000000000008,0,0.017000000000000008
0.9880000000000008,0,0.012000000000000004
0.9870000000000008,0,0.013000000000000005
0.9870000000000008,0,0.013000000000000005
0.9910000000000008,0,0.009000000000000001
0.9930000000000008,0,0.007
0.9900000000000008,0,0.010000000000000002
